State,Crop,Season,Year,Area_Hectares,Rainfall_mm,Fertilizer_kg_per_ha,Avg_Temp_C,Irrigation_pct,Yield_kg_per_ha
Uttar Pradesh,Soybean,Kharif,2003,2970.09,888.37,181.24,36.08,46.12,745.14
Uttar Pradesh,Soybean,Kharif,2002,2012.89,1233.13,308.71,36.99,31.03,921.58
Uttar Pradesh,Soybean,Kharif,2001,4636.61,1038.17,127.47,27.18,93.5,680.31
Uttar Pradesh,Soybean,Kharif,2000,3185.33,660.22,72.76,20.58,29.6,417.67
Uttar Pradesh,Sugarcane,Whole Year,2006,801.92,508.24,242.26,21.64,45.93,31453.03
Uttar Pradesh,Sugarcane,Whole Year,2007,3354.41,558.48,107.69,18.82,32.67,25064.82
Uttar Pradesh,Sugarcane,Whole Year,2008,1429.02,565.52,76.61,20.41,54.56,23414.8
Uttar Pradesh,Sugarcane,Whole Year,2009,2541.92,1335.59,61.79,33.99,67.09,33466.02
Uttar Pradesh,Sugarcane,Whole Year,2010,454.71,1610.37,326.26,19.22,40.77,57244.3
Uttar Pradesh,Sugarcane,Whole Year,2011,963.38,614.02,161.14,27.69,66.37,36074.69
Uttar Pradesh,Sugarcane,Whole Year,2012,1876.12,993.8,274.24,18.73,38.93,49637.84
Uttar Pradesh,Sugarcane,Whole Year,2013,2582.8,1098.17,82.15,26.95,59.95,38481.17
Uttar Pradesh,Sugarcane,Whole Year,2014,1250.23,703.86,163.19,18.4,44.16,31968.12
Uttar Pradesh,Sugarcane,Whole Year,2015,642.82,1635.79,228.08,31.58,79.19,55720.48
Uttar Pradesh,Sugarcane,Whole Year,2016,2517.29,430.38,211.13,29.74,75.91,33186.35
Uttar Pradesh,Sugarcane,Whole Year,2017,1454.69,844.62,243.78,29.42,46.71,44601.27
Uttar Pradesh,Sugarcane,Whole Year,2005,4933.25,1208.66,121.17,20.04,31.46,37700.42
Uttar Pradesh,Sugarcane,Whole Year,2004,973.51,727.64,102.01,35.94,26.02,27313.04
Uttar Pradesh,Sugarcane,Whole Year,2003,2646.33,915.6,344.71,20.24,49.84,52123.3
Uttar Pradesh,Sugarcane,Whole Year,2002,895.89,1302.96,328.81,29.14,62.87,70540.32699999999
Uttar Pradesh,Sugarcane,Whole Year,2001,1435.9,1454.24,106.11,24.47,51.91,38670.73
Uttar Pradesh,Sugarcane,Whole Year,2000,618.44,1215.93,136.59,29.62,31.58,43582.96
Uttar Pradesh,Cotton,Kharif,2006,2431.64,1098.88,65.55,24.73,30.08,197.47
Uttar Pradesh,Cotton,Kharif,2007,1310.47,1322.25,278.07,29.91,55.37,335.1
Uttar Pradesh,Cotton,Kharif,2008,2088.61,823.3,328.86,34.61,92.38,363.93
Uttar Pradesh,Cotton,Kharif,2009,4694.79,571.85,69.95,32.82,63.09,155.89
Uttar Pradesh,Cotton,Kharif,2010,4217.05,509.66,288.58,22.03,32.27,222.08
Uttar Pradesh,Cotton,Kharif,2011,3342.73,1084.6,157.65,35.54,49.43,257.6
Uttar Pradesh,Cotton,Kharif,2012,4092.17,958.7,163.08,27.25,42.6,246.22
Uttar Pradesh,Cotton,Kharif,2013,1199.45,1649.36,165.17,28.87,87.99,397.97
Uttar Pradesh,Cotton,Kharif,2014,3139.98,475.35,331.95,30.55,45.12,245.73
Uttar Pradesh,Cotton,Kharif,2015,3119.36,1100.19,318.17,33.77,31.38,323.87
Uttar Pradesh,Cotton,Kharif,2016,1593.02,672.73,273.18,18.67,62.74,305.35
Uttar Pradesh,Cotton,Kharif,2017,1743.3,1531.89,83.19,34.93,29.56,233.84
Uttar Pradesh,Cotton,Kharif,2005,2016.57,1495.94,94.98,22.59,74.17,316.8
Uttar Pradesh,Cotton,Kharif,2004,3485.04,1114.09,125.54,24.91,33.62,280.2
Uttar Pradesh,Cotton,Kharif,2003,4546.83,1175.09,170.26,27.24,91.05,390.89
Uttar Pradesh,Cotton,Kharif,2002,2554.15,1217.18,55.43,35.44,89.91,267.74
Uttar Pradesh,Cotton,Kharif,2001,2847.41,1344.98,326.75,32.14,31.44,436.59
Uttar Pradesh,Cotton,Kharif,2000,2149.45,1404.67,330.31,36.51,53.81,476.88
Uttar Pradesh,Mustard,Rabi,2006,610.53,1777.26,301.67,20.49,89.06,1123.49
Uttar Pradesh,Mustard,Rabi,2007,2976.81,898.5,66.43,24.7,80.21,614.83
Uttar Pradesh,Mustard,Rabi,2008,72.93,800.25,169.45,28.75,88.99,642.83
Uttar Pradesh,Mustard,Rabi,2009,3700.63,978.33,117.38,27.05,30.56,485.26
Uttar Pradesh,Mustard,Rabi,2010,923.12,1047.55,175.68,36.3,47.18,812.8
Uttar Pradesh,Mustard,Rabi,2011,114.82,1295.31,103.41,37.22,31.15,658.47
Uttar Pradesh,Mustard,Rabi,2012,2102.39,428.02,346.1506,28.04,64.65,661.79
Uttar Pradesh,Mustard,Rabi,2013,1089.03,1647.08,111.54,21.81,22.74,599.75
Uttar Pradesh,Mustard,Rabi,2014,2386.73,1147.26,69.71,33.51,54.0,494.48
Uttar Pradesh,Mustard,Rabi,2015,2033.78,1139.46,96.57,21.64,84.63,847.68
Uttar Pradesh,Mustard,Rabi,2016,4733.27,859.96,131.22,30.88,50.66,674.16
Uttar Pradesh,Mustard,Rabi,2017,184.13,632.96,119.32,31.44,21.48,501.02
Uttar Pradesh,Mustard,Rabi,2005,565.34,1499.87,103.56,31.05,37.86,663.32
Uttar Pradesh,Mustard,Rabi,2004,3625.22,1583.54,299.07,25.94,70.11,1152.96
Uttar Pradesh,Mustard,Rabi,2003,1064.67,739.72,318.9,18.26,26.41,761.54
Uttar Pradesh,Mustard,Rabi,2002,2136.05,1639.01,295.23,24.84,39.46,933.79
Uttar Pradesh,Mustard,Rabi,2001,1929.48,1185.44,130.42,30.48,50.71,664.36
Uttar Pradesh,Mustard,Rabi,2000,1507.61,1722.68,279.08,20.8,85.14,1451.86
Uttar Pradesh,Chickpea,Rabi,2006,2462.78,1641.83,289.96,26.5,21.69,640.67
Uttar Pradesh,Chickpea,Rabi,2007,3185.72,686.83,91.81,34.7,93.83,382.99
Uttar Pradesh,Chickpea,Rabi,2008,2652.17,557.52,131.69,18.37,88.57,448.82
Uttar Pradesh,Chickpea,Rabi,2009,1406.57,1131.27,245.43,34.59,35.48,575.87
Uttar Pradesh,Chickpea,Rabi,2010,104.43,505.33,320.01,35.48,64.81,616.71
Uttar Pradesh,Chickpea,Rabi,2011,918.09,1671.62,175.63,25.66,58.92,703.0
Uttar Pradesh,Chickpea,Rabi,2012,282.48,549.43,271.41,19.66,65.24,522.29
Uttar Pradesh,Chickpea,Rabi,2013,1479.03,833.51,265.71,23.94,62.48,583.05
Uttar Pradesh,Chickpea,Rabi,2014,2406.45,1295.51,331.05,32.65,36.12,720.77
Uttar Pradesh,Chickpea,Rabi,2015,2507.01,1195.26,150.27,33.42,27.99,552.24
Uttar Pradesh,Chickpea,Rabi,2016,421.93,1392.28,198.65,31.77,52.61,738.09
Uttar Pradesh,Chickpea,Rabi,2017,4007.11,1342.04,131.64,29.8,47.07,567.7
Uttar Pradesh,Chickpea,Rabi,2005,503.33,1675.97,91.05,37.0,53.45,569.84
Uttar Pradesh,Chickpea,Rabi,2004,4371.08,1398.34,291.97,31.18,71.92,837.34
Uttar Pradesh,Chickpea,Rabi,2003,4253.52,674.5,196.83,22.42,94.08,666.77
Uttar Pradesh,Chickpea,Rabi,2002,943.85,1151.92,324.65,18.68,72.31,964.02
Uttar Pradesh,Chickpea,Rabi,2001,1521.88,1686.59,341.32,36.89,55.57,909.65
Uttar Pradesh,Chickpea,Rabi,2000,1629.55,1543.37,61.1,29.93,37.25,503.76
Uttar Pradesh,Groundnut,Kharif,2006,646.81,415.43,258.89,24.8,74.36,780.43
Uttar Pradesh,Groundnut,Kharif,2007,2720.48,1486.08,145.63,30.52,86.45,1069.66
Uttar Pradesh,Groundnut,Kharif,2008,3098.52,649.44,57.32,35.4,21.6,476.2
Uttar Pradesh,Groundnut,Kharif,2009,4698.39,1498.17,346.1506,25.01,77.54,1595.89
Uttar Pradesh,Groundnut,Kharif,2010,2039.56,1019.81,238.25,35.47,93.81,1254.69
Uttar Pradesh,Groundnut,Kharif,2011,2135.72,1406.37,121.63,20.21,46.6,1019.76
Uttar Pradesh,Groundnut,Kharif,2012,1471.83,744.46,120.08,18.84,21.34,617.79
Uttar Pradesh,Groundnut,Kharif,2013,1952.42,1319.47,115.48,37.0,78.98,1092.29
Uttar Pradesh,Groundnut,Kharif,2014,492.58,926.37,313.74,36.89,55.06,1101.48
Uttar Pradesh,Groundnut,Kharif,2015,4956.28,647.51,332.82,30.99,65.58,1111.45
Uttar Pradesh,Groundnut,Kharif,2016,2587.81,646.0,102.96,22.41,33.98,592.35
Uttar Pradesh,Groundnut,Kharif,2017,336.32,1753.65,315.14,36.56,94.62,1891.73
Uttar Pradesh,Groundnut,Kharif,2005,910.78,894.36,277.47,31.92,31.54,1009.71
Uttar Pradesh,Groundnut,Kharif,2004,1157.9,1105.46,227.88,29.6,26.86,1123.21
Uttar Pradesh,Groundnut,Kharif,2003,4393.43,698.4,88.85,35.77,91.67,874.56
Uttar Pradesh,Groundnut,Kharif,2002,3293.45,1126.29,76.1,26.17,47.95,903.25
Uttar Pradesh,Groundnut,Kharif,2001,1335.78,1385.13,198.76,19.62,36.51,1105.16
Uttar Pradesh,Groundnut,Kharif,2000,4263.47,1042.72,194.18,29.85,81.85,1345.13
Uttar Pradesh,Bajra,Kharif,2006,1771.66,1317.02,219.72,23.34,85.9,876.04
Uttar Pradesh,Bajra,Kharif,2007,4260.38,1600.94,262.51,34.74,72.31,940.06
Uttar Pradesh,Bajra,Kharif,2008,3416.7,1227.92,275.81,21.17,86.07,937.02
Uttar Pradesh,Bajra,Kharif,2009,1708.84,1415.26,98.23,34.36,82.41,661.9
Uttar Pradesh,Bajra,Kharif,2010,2561.97,309.58,136.11,30.34,93.59,375.58
Uttar Pradesh,Bajra,Kharif,2011,3188.33,1109.98,283.95,20.14,77.08,970.55
Uttar Pradesh,Bajra,Kharif,2012,2729.27,1744.49,152.56,30.65,89.9,765.76
Uttar Pradesh,Bajra,Kharif,2013,1539.77,1362.26,70.21,29.64,45.94,544.84
Uttar Pradesh,Bajra,Kharif,2014,3123.53,368.61,311.46,37.47,92.67,607.75
Uttar Pradesh,Bajra,Kharif,2015,3803.4,336.88,56.64,24.47,56.65,326.27
Uttar Pradesh,Bajra,Kharif,2016,3863.52,1324.94,183.77,23.47,94.78,800.11
Uttar Pradesh,Bajra,Kharif,2017,859.94,1492.21,258.1,22.42,26.18,625.85
Uttar Pradesh,Bajra,Kharif,2005,3418.47,1281.77,131.98,37.02,31.33,643.22
Uttar Pradesh,Bajra,Kharif,2004,2127.65,1257.79,169.28,23.48,93.8,895.24
Uttar Pradesh,Bajra,Kharif,2003,2076.2,1641.15,118.99,22.26,22.34,517.82
Uttar Pradesh,Bajra,Kharif,2002,4328.57,1009.81,340.46,21.71,85.15,1146.64
Uttar Pradesh,Bajra,Kharif,2001,3894.15,1456.38,303.43,33.22,66.97,1075.41
Uttar Pradesh,Bajra,Kharif,2000,3992.86,1022.28,85.19,20.5,71.42,674.59
Punjab,Rice,Kharif,2006,2180.01,600.79,197.48,19.28,63.65,1538.61
Punjab,Rice,Kharif,2007,1586.29,982.83,53.49,19.45,49.44,1167.34
Punjab,Rice,Kharif,2008,2425.7,1200.03,137.5,31.9,84.51,1877.22
Punjab,Rice,Kharif,2009,1248.12,1779.99,92.75,27.98,66.36,1698.4
Punjab,Rice,Kharif,2010,3527.2,1139.47,52.93,24.53,58.83,1421.89
Punjab,Rice,Kharif,2011,214.36,417.87,169.08,20.65,62.57,1178.4
Punjab,Rice,Kharif,2012,3462.85,1500.88,110.05,21.35,27.84,1683.42
Punjab,Rice,Kharif,2013,206.35,1704.32,65.59,28.83,73.18,1839.58
Punjab,Rice,Kharif,2014,4361.3,1371.13,290.52,24.79,81.11,3202.05
Punjab,Rice,Kharif,2015,2288.98,1265.37,207.92,32.63,26.12,1949.88
Punjab,Rice,Kharif,2016,348.74,670.65,97.86,35.44,36.44,1232.58
Punjab,Rice,Kharif,2017,3310.6,1047.29,216.61,32.38,37.13,1867.71
Punjab,Rice,Kharif,2005,4981.85,1762.19,245.1,21.99,71.02,2614.19
Punjab,Rice,Kharif,2004,4347.95,1390.75,272.81,26.51,45.95,2177.34
Punjab,Rice,Kharif,2003,1886.64,1781.47,62.03,35.34,63.4,1982.98
Punjab,Rice,Kharif,2002,2459.01,1610.13,320.21,26.43,40.76,2519.58
Punjab,Rice,Kharif,2001,2982.13,1668.55,113.2,30.46,67.37,1969.6
Punjab,Rice,Kharif,2000,3593.33,1663.55,103.9,22.75,92.85,2359.59
Punjab,Wheat,Rabi,2006,945.84,1581.58,197.68,22.94,85.31,3393.04
Punjab,Wheat,Rabi,2007,1828.21,1189.43,99.06,25.82,92.71,2054.29
Punjab,Wheat,Rabi,2008,1327.76,1285.1,147.56,33.47,29.82,2240.41
Punjab,Wheat,Rabi,2009,1218.45,410.25,100.93,28.4,45.28,1390.49
Punjab,Wheat,Rabi,2010,4152.97,946.33,124.61,30.34,73.01,2298.65
Punjab,Wheat,Rabi,2011,231.52,1404.6,249.14,27.49,83.31,3602.52
Punjab,Wheat,Rabi,2012,4038.07,1178.03,310.48,22.12,28.39,3079.07
Punjab,Wheat,Rabi,2013,2679.29,1704.91,61.8,20.44,53.91,2175.91
Punjab,Wheat,Rabi,2014,4672.68,774.23,202.17,18.83,31.13,2298.21
Punjab,Wheat,Rabi,2015,2300.96,1073.39,196.65,31.34,30.47,2608.96
Punjab,Wheat,Rabi,2016,198.37,761.89,261.4,22.04,70.51,2807.33
Punjab,Wheat,Rabi,2017,4347.3,565.72,257.79,34.76,90.85,3267.75
Punjab,Wheat,Rabi,2005,3432.08,1045.76,235.35,35.38,62.8,3572.45
Punjab,Wheat,Rabi,2004,1117.59,1288.33,168.16,31.02,27.99,2878.34
Punjab,Wheat,Rabi,2003,3306.33,1799.12,64.46,37.54,50.52,2389.24
Punjab,Wheat,Rabi,2002,2856.73,1407.67,313.55,26.08,44.53,3885.23
Punjab,Wheat,Rabi,2001,3354.59,1511.77,278.69,33.96,52.67,3769.17
Punjab,Wheat,Rabi,2000,2745.22,308.64,147.38,25.33,49.71,1643.58
Punjab,Maize,Kharif,2006,3492.56,882.84,184.61,22.75,47.99,2010.11
Punjab,Maize,Kharif,2007,3116.48,995.24,163.94,35.27,58.93,2094.29
Punjab,Maize,Kharif,2008,2421.95,338.46,152.37,25.6,49.91,1254.98
Punjab,Maize,Kharif,2009,3059.13,1447.32,293.9,32.36,91.66,3910.92
Punjab,Maize,Kharif,2010,140.25,593.67,52.27,30.95,87.35,1354.96
Punjab,Maize,Kharif,2011,348.32,1701.65,155.49,20.03,56.44,2182.53
Punjab,Maize,Kharif,2012,1321.04,727.31,142.19,34.06,60.44,1799.58
Punjab,Maize,Kharif,2013,3594.95,708.94,174.06,20.44,33.59,1369.63
Punjab,Maize,Kharif,2014,3421.53,572.16,207.55,32.18,28.02,1304.61
Punjab,Maize,Kharif,2015,4816.49,1025.32,291.8,29.0,23.26,2362.18
Punjab,Maize,Kharif,2016,3184.1,1727.11,230.48,34.38,86.32,2916.38
Punjab,Maize,Kharif,2017,3074.36,916.54,301.96,36.0,46.51,2387.25
Punjab,Maize,Kharif,2005,1222.51,1470.79,132.44,34.45,51.78,2078.47
Punjab,Maize,Kharif,2004,3138.1,977.65,225.98,21.36,75.27,2738.99
Punjab,Maize,Kharif,2003,4320.85,625.11,78.71,18.47,68.15,1629.85
Punjab,Maize,Kharif,2002,1198.14,886.36,228.34,27.94,94.08,3323.07
Punjab,Maize,Kharif,2001,725.38,1342.72,171.3,26.56,73.82,2893.1
Punjab,Maize,Kharif,2000,1407.1,419.13,75.7,35.88,34.39,1264.64
Punjab,Maize,Rabi,2006,1650.69,639.98,156.5,19.39,58.93,1539.5
Punjab,Maize,Rabi,2007,4406.39,1276.32,209.89,24.49,44.98,1938.51
Punjab,Maize,Rabi,2008,3363.96,1791.21,248.55,29.16,74.8,2622.18
Punjab,Maize,Rabi,2009,2833.37,1736.44,102.59,31.8,35.07,1691.15
Punjab,Maize,Rabi,2010,2702.35,445.01,185.11,33.12,46.07,1484.8
Punjab,Maize,Rabi,2011,4639.53,651.96,169.79,21.05,94.44,2039.54
Punjab,Maize,Rabi,2012,4638.65,1109.94,302.61,28.42,66.77,2975.21
Punjab,Maize,Rabi,2013,682.18,1539.1,284.61,32.17,22.71,2349.12
Punjab,Maize,Rabi,2014,1550.49,694.67,158.04,19.75,90.27,1692.38
Punjab,Maize,Rabi,2015,2015.06,970.8,230.18,28.31,88.95,2846.3
Punjab,Maize,Rabi,2016,2509.97,1788.24,305.43,22.17,89.79,3569.49
Punjab,Maize,Rabi,2017,1934.09,1616.96,310.42,34.12,79.25,3399.58
Punjab,Maize,Rabi,2005,1558.16,421.38,170.89,21.47,72.12,1611.76
Punjab,Maize,Rabi,2004,3222.81,1533.72,89.76,35.24,89.21,2370.13
Punjab,Maize,Rabi,2003,2460.96,1209.38,279.44,21.5,57.69,2829.83
Punjab,Maize,Rabi,2002,1869.3,402.26,57.74,20.7,92.23,1319.73
Punjab,Maize,Rabi,2001,2770.17,1748.73,179.75,24.24,57.96,2420.52
Punjab,Maize,Rabi,2000,3222.09,624.06,235.88,31.0,31.4,1812.84
Punjab,Soybean,Kharif,2006,353.68,1471.14,187.94,19.16,94.61,1169.5
Punjab,Soybean,Kharif,2007,4919.21,658.77,92.67,20.43,42.75,526.38
Punjab,Soybean,Kharif,2008,550.18,1338.24,68.69,28.19,94.75,926.03
Punjab,Soybean,Kharif,2009,1565.96,1235.84,208.11,26.52,29.8,1003.8
Punjab,Soybean,Kharif,2010,4438.69,974.68,108.39,25.36,51.06,771.4
Punjab,Soybean,Kharif,2011,3858.06,316.55,174.85,27.63,21.44,494.81
Punjab,Soybean,Kharif,2012,1336.08,1440.43,91.13,28.71,36.14,754.82
Punjab,Soybean,Kharif,2013,593.19,1121.94,186.31,34.89,27.36,910.32
Punjab,Soybean,Kharif,2014,2466.79,525.07,147.4,32.75,55.7,576.08
Punjab,Soybean,Kharif,2015,2324.26,1477.52,317.63,37.11,79.02,1283.96
Punjab,Soybean,Kharif,2016,1611.26,1332.2,181.28,23.09,83.07,1426.44
Punjab,Soybean,Kharif,2017,3313.8,1642.68,241.0,30.28,25.0,987.47
Punjab,Soybean,Kharif,2005,2616.12,525.25,271.23,28.24,71.02,899.64
Punjab,Soybean,Kharif,2004,402.72,318.16,336.95,32.75,46.49,748.72
Punjab,Soybean,Kharif,2003,1517.85,824.55,282.4,31.23,33.89,1077.2
Punjab,Soybean,Kharif,2002,1361.98,331.42,74.65,37.36,42.16,492.11
Punjab,Soybean,Kharif,2001,3857.65,1237.0,164.58,22.11,29.1,1062.47
Punjab,Soybean,Kharif,2000,3237.33,1095.45,62.59,37.37,79.9,962.03
Punjab,Sugarcane,Whole Year,2006,1499.47,1769.96,230.56,29.65,76.11,70540.32699999999
Punjab,Sugarcane,Whole Year,2007,684.07,807.4,328.43,22.49,47.91,64620.62
Punjab,Sugarcane,Whole Year,2008,2188.78,959.11,233.88,36.86,38.05,54733.23
Punjab,Sugarcane,Whole Year,2009,4440.28,1268.72,135.77,34.32,84.6,63818.76
